scores,states
"[0, 0.0119, 0, 0, 0, 0, 0]",122100210210002011000201200010020001000000
"[0, -1, 0, 0, 0, 0, 0]",122100212210002111000201200010020001000000
"[0, 0.01785, 0, 0, 0, 0, 0]",122120210210002011000201200010000001000000
"[0, -1, 0, 0, 0, 0, -1]",122120212210002111000201200010000001000000
"[0, 0.0119, 0, 0, 0, 0, 0]",122100210210022011000201200010000001000000
"[0, -1, 0, 0, 0, 0, 0]",122100212210022111000201200010000001000000
"[0, 0, 0, 0, 0, 0.03423, 0]",102102220110101001000200200010020000000000
"[0, 0, 0.02321, 0, 0, 0, 0]",102102220110111001020200200010020000000000
"[0, 0, 0, 0, 0, 0.0119, 0]",112102220110111001020200200010020002000000
"[0, 0.0119, 0, 0, 0, 0, 0]",112102221110111001022200200010020002000000
"[0, 0, 0, 0, 0, 0, 0.0119]",112102221110111201022210200010020002000000
"[0, 0, 0, 0, -1, 0, 0]",112112221110111201022210200210020002000000
"[0, 0, 0, 0.02321, 0, 0, 0]",102100210210000011000000200000020000000000
"[0, 0.03395, 0, 0, 0, 0, 0]",102110210210002011000000200000020000000000
"[0, 0, 0, 0, 0.02321, 0, 0]",102110210210002011000200200010020000000000
"[0.02321, 0, 0, 0, 0, 0, 0]",102110210210002011000201200010020000002000
"[0, 0.01785, 0, 0, 0, 0, 0]",102110210211002011000201200010020002002000
"[0, -1, -1, 0, 0, 0, 0]",122110210211002011100201200010020002002000
"[0.04606, 0, 0.0724, 0.04555, 0.0119, 0, 0.04048]",022100000110000000000000000000000000000000
"[0.0771, -1, 0, -1, 0, 0, -1]",222100001110000000000000000000000000000000
"[0, 0, 0, 0, 0, 0.06171, 0]",222100021110000100000000000000000000000000
"[0, 0.04342, 0, 0, 0, -1, -1]",222102021110000100000010000000000000000000
"[0, 0, 0, 0, 0, 0, 0.02343]",222102021110000110000010000002000000000000
"[0.043, 0, 0.02489, 0, 0.03806, 0.03607, 0]",012102000010000001000000200000000000000000
"[0, 0, 0.03303, 0.05181, 0, 0, 0]",212102000110000001000000200000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212102002110000011000000200000000000000000
"[-1, 0, 0, 0, 0, 0, 0]",212102022110000111000000200000000000000000
"[0, 0, 0, 0.01726, 0, 0, 0.06837]",022100201110000000000000000000000000000000
"[0, 0, 0, 0, 0.0119, 0, 0]",022100201110000200000010000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",222100201110000210000010000000000000000000
"[0, 0, 0.02321, 0, 0, 0, 0]",000122200011000001000000000000000000000000
"[-1, 0, 0, 0, -1, 0, 0]",022120000111000000000000000000000000000000
"[-1, 0, -1, -1, 0, -1, 0]",222102021110000111000010000002000000200000
"[-1, -1, -1, 0.07859, 0, -1, -1]",020102000010000001000000000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",222100221110000210000011000000000000000000
"[0, 0, -1, 0, 0, 0, 0]",222100221110002210000111000000000000000000
"[0.03395, 0, 0, 0, 0, 0, -1]",000122000011100002000000000000000000000000
"[0.02886, 0, 0, 0, 0, 0, 0]",200122000011100002000000100000000000000000
"[0.02321, 0, -1, 0, 0, 0, 0]",200122020011100002100000100000000000000000
"[0.01785, 0, 0, 0, 0, 0, 0]",200122020011102002100100100000000000000000
"[-1, -1, 0, 0, 0, 0, 0]",201122020011102002100100100020000000000000
"[0, 0, 0, 0, 0, 0.04988, 0.0119]",022100001110000002000000000000000000000000
"[0.02083, 0, 0, 0, 0, 0, 0]",022100001110000212000000000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",222100001110000212000010000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",222100021110000212000011000000000000000000
"[-1, 0, 0, 0, 0, 0, 0]",222100021110002212000111000000000000000000
"[0, 0.02321, 0, 0, 0, 0, 0]",022100201110000102000000000000000000000000
"[0.07783, 0.07158, 0.0849, 0.05688, 0.11673, 0.05783, 0.0999]",000100000020000001000000000000000000000000
"[0.06795, 0.08703, 0.07995, 0.09199, 0.10171, 0.08838, 0.06004]",100120000020000001000000000000000000000000
"[0, -1, 0.03904, -1, -1, -1, -1]",110120020020000001000000000000000000000000
"[0.02589, 0, 0.04649, 0.01726, 0.05099, 0.06645, 0]",102120010020000001000000000000000000000000
"[0.03705, 0, 0, 0, 0, 0, 0]",102120010220001001000000000000000000000000
"[0, 0, 0.02618, 0, 0, 0, 0]",102120010220001011000200000000000000000000
"[0.02321, 0, 0, 0, 0, 0, 0]",102120010220001011000201000020000000000000
"[0, 0, 0, 0.02321, 0, 0, 0]",102120010221001011000201000020000002000000
"[0, 0.01785, 0, 0, 0, 0, 0]",102120010221001011000201200020100002000000
"[0, 0, 0.0119, 0, 0, 0, 0]",122120010221001011100201200020100002000000
"[0.0119, 0, 0, 0, 0, -1, -1]",102120210020001001000000000000000000000000
"[0.03178, 0, 0.01726, 0, 0.07246, 0, 0]",002100000120000001000000000000000000000000
"[0, 0.04939, 0, 0, 0, 0, 0]",202100000120000001000000100000000000000000
"[0, 0, 0, 0, 0.0119, 0, 0]",212100020120000001000000100000000000000000
"[0, -1, 0, 0, 0, 0, 0]",212100020120002001000100100000000000000000
"[0.03395, 0, 0, 0, 0, 0, 0]",212100020120000021000001100000000000000000
"[0.03154, 0, 0, 0, 0, 0, 0]",212100020120002021000101100000000000000000
"[0.02083, 0, 0, 0, 0, 0, 0]",212100021120002021000101100020000000000000
"[0, -1, -1, -1, 0, 0, 0]",212100021120002021000101100020010002000000
"[-1, -1, 0, 0, 0, 0, 0]",212100220120000001000000100000010000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212100220120010001000000100000000000000000
